Generation,Average Step Per Episode,Average Reward Per Trajectory
0,41.6,41.6
1,9.3,9.3
2,9.2,9.2
3,13.3,13.3
4,9.3,9.3
5,9.1,9.1
6,8.8,8.8
7,9.3,9.3
8,9.1,9.1
9,9.3,9.3
10,9.8,9.8
11,15.7,15.7
12,9.5,9.5
13,9.4,9.4
14,9.4,9.4
15,9.3,9.3
16,9.7,9.7
17,9.4,9.4
18,9.6,9.6
19,9.3,9.3
20,9.2,9.2
21,8.8,8.8
22,9.2,9.2
23,9.6,9.6
24,9.4,9.4
25,9,9
26,9.4,9.4
27,9.4,9.4
28,9.5,9.5
29,9.5,9.5
30,9.8,9.8
31,9.3,9.3
32,9.7,9.7
33,9.8,9.8
34,9.3,9.3
35,9.7,9.7
36,9.3,9.3
37,9,9
38,9.3,9.3
39,9.3,9.3
40,9.3,9.3
41,8.9,8.9
42,9.4,9.4
43,9.4,9.4
44,9.4,9.4
45,8.9,8.9
46,9.3,9.3
47,9.5,9.5
48,9.4,9.4
49,9,9
50,9.6,9.6
51,9.1,9.1
52,9.6,9.6
53,9.1,9.1
54,9,9
55,9.4,9.4
56,9.4,9.4
57,8.9,8.9
58,9.5,9.5
59,9.9,9.9
60,9.9,9.9
61,9.1,9.1
62,9,9
63,9.1,9.1
64,9.2,9.2
65,9.7,9.7
66,9.7,9.7
67,9.3,9.3
68,9.3,9.3
69,9.2,9.2
70,9.6,9.6
71,9,9
72,9.5,9.5
73,9.6,9.6
74,9.7,9.7
75,8.9,8.9
76,9,9
77,9.4,9.4
78,9.9,9.9
79,9.7,9.7
80,9.1,9.1
81,9.5,9.5
82,9.3,9.3
83,9.7,9.7
84,9.9,9.9
85,9.7,9.7
86,9.4,9.4
87,9.7,9.7
88,9.7,9.7
89,9.6,9.6
90,9.2,9.2
91,8.9,8.9
92,9.3,9.3
93,9.2,9.2
94,9.7,9.7
95,9.5,9.5
96,9,9
97,9.1,9.1
98,9.2,9.2
99,9.3,9.3
100,9.3,9.3
101,9.3,9.3
102,9.4,9.4
103,9.5,9.5
104,9.4,9.4
105,9.4,9.4
106,9,9
107,9.4,9.4
108,9.4,9.4
109,9.2,9.2
110,9.2,9.2
111,9.3,9.3
112,9.4,9.4
113,9.6,9.6
114,9.6,9.6
115,9.6,9.6
116,9.4,9.4
117,9.4,9.4
118,9.2,9.2
119,9.4,9.4
120,9.5,9.5
121,9.2,9.2
122,9.3,9.3
123,9.6,9.6
124,9.2,9.2
125,9.5,9.5
126,9,9
127,9.4,9.4
128,9.3,9.3
129,9.1,9.1
130,9.1,9.1
131,9.4,9.4
132,9.4,9.4
133,8.9,8.9
134,9.2,9.2
135,9,9
136,9.3,9.3
137,9.3,9.3
138,9.5,9.5
139,9.6,9.6
140,9.2,9.2
141,9,9
142,9.3,9.3
143,9.4,9.4
144,9.3,9.3
145,9.4,9.4
146,8.7,8.7
147,9.4,9.4
148,9.6,9.6
149,9.4,9.4
150,9.4,9.4
151,9.8,9.8
152,9.3,9.3
153,9.2,9.2
154,9.4,9.4
155,9.3,9.3
156,9.2,9.2
157,9.6,9.6
158,9.7,9.7
159,9.5,9.5
160,9.5,9.5
161,9.1,9.1
162,9.1,9.1
163,9.6,9.6
164,9.4,9.4
165,9.4,9.4
166,9.6,9.6
167,9.5,9.5
168,9.2,9.2
169,9.2,9.2
170,9.4,9.4
171,9.4,9.4
172,9.1,9.1
173,9.7,9.7
174,9.3,9.3
175,9,9
176,9.6,9.6
177,9.3,9.3
178,9.1,9.1
179,9.6,9.6
180,9.4,9.4
181,9.2,9.2
182,9.2,9.2
183,9.4,9.4
184,9.4,9.4
185,9.6,9.6
186,9.2,9.2
187,9.3,9.3
188,9.1,9.1
189,8.7,8.7
190,9.4,9.4
191,9.5,9.5
192,9.5,9.5
193,9.5,9.5
194,9.5,9.5
195,9.6,9.6
196,9.7,9.7
197,9.6,9.6
198,9.6,9.6
199,9.2,9.2
200,9.4,9.4
